repaying	1.289073601429014E-6
jeannette	1.0300816449775226E-7
treason	4.35577381304781E-7
indignation	8.29951496810461E-7
first-grade	6.44536800714507E-7
strumming	1.0300816449775226E-7
placates	3.031383126648138E-7
sledding	1.0771710916050664E-6
riverbanks	9.712198366930928E-8
placated	2.9430904142214932E-8
signifying	8.387807680531255E-7
wiggling	1.5186346537382904E-6
chickened	2.1190250982394752E-7
timed	1.445057393382753E-6
cohabiting	8.82927124266448E-8
hindrance	4.385204717190025E-7
mimicry	1.6186997278218213E-7
impersonations	7.652035076975882E-8
salient	2.1631714544527974E-6
bulkier	1.0595125491197376E-7
mugs	5.126863501573841E-6
retiring	5.015026065833425E-6
relies	2.893940804303994E-5
finals	2.572261022029585E-6
plummeting	4.1203265799100903E-7
inflexibility	1.0300816449775226E-7
restating	1.5598379195373915E-7
uttering	2.1778869065239048E-6
ignorance	5.556554702050179E-6
steeling	2.1608169821214203E-5
relief	3.31509704257909E-5
relied	3.546423949136899E-6
finale	1.5863257332653848E-6
inefficient	9.182442092371059E-7
advised	5.659562866547932E-6
times	0.001257609021810572
timer	5.562440882878623E-7
helix	7.063416994131584E-8
swords	1.2773012397721281E-6
pedophile	1.1183743574041674E-7
grotesque	2.14845600238169E-7
f	1.7729176655270276E-5
g	4.062053389708505E-5
reclining	6.298213486433996E-7
d	1.6443046144255482E-5
e	1.7234737465681063E-5
b	1.3173272694055404E-5
sobering	1.097772724504617E-6
c	1.9330217840606766E-5
a	0.026647058464126135
slated	1.5304070153951764E-6
high-ceilinged	1.265528878115242E-7
digested	2.08959419409726E-7
mimosa	6.769107952709434E-8
n	1.0474458784214295E-5
o	3.5111068641662413E-6
astounded	1.1478052615463824E-6
l	3.2668303597858575E-7
m	2.0610462170793116E-5
j	3.0881847716426127E-5
k	7.590230178277231E-6
h	1.0833515814749316E-5
i	0.010863647174410115
bloggers	5.238700937314258E-7
w	3.4634287994558534E-5
v	1.3870785122225897E-5
analyze	1.0701076746109349E-5
u	2.6164073782429074E-6
